lessonSlug,lessonTitle,keyStageTitle,unitTitle,keywords,matchedTerms,topicGroup
explain-how-a-factor-of-zero-or-one-affects-the-product,Explain how a factor of zero or one affects the product,Key Stage 1,Representing counting in 5s as the 5 times table and link to the 10 times tables,"Zero, Product",zero,zero
addition-and-subtraction-involving-zero,Addition and subtraction involving zero,Key Stage 1,Addition and subtraction facts within 10,"Zero, Add, Subtract, Same",zero,zero
measure-length-using-a-ruler,Measure length using a ruler,Key Stage 1,Numbers 0 to 20 in different contexts,"Ruler, Centimetre, Cm, Zero",zero,zero
explain-that-objects-can-be-grouped-in-different-ways,Explain that objects can be grouped in different ways,Key Stage 1,Grouping objects in different ways and relating to multiplication,"Group, Equal, Unequal",unequal,unequal_or_congruent
two-congruent-triangles-can-be-arranged-to-compose-a-parallelogram,Two congruent triangles can be arranged to compose a parallelogram,Key Stage 2,"Draw, compose and decompose shapes","Congruent, Parallelogram",congruent,unequal_or_congruent
identify-and-explain-when-objects-cannot-be-grouped-equally,Identify and explain when objects cannot be grouped equally,Key Stage 1,Introduction to division structures,"Group, Unequal",unequal,unequal_or_congruent
explain-the-size-of-a-part-in-relation-to-the-whole,Explain the size of a part in relation to the whole,Key Stage 2,Unit fractions as part of a whole,"Whole, Part, Equal, Unequal, Inequality",unequal,unequal_or_congruent
solve-problems-involving-identifying-equal-parts-and-the-whole,Solve problems involving identifying equal parts and the whole,Key Stage 2,Unit fractions as part of a whole,"Whole, Part, Equal/unequal, Fraction",unequal,unequal_or_congruent
identify-the-number-of-equal-or-unequal-parts-in-a-whole,Identify the number of equal or unequal parts in a whole,Key Stage 2,Unit fractions as part of a whole,"Whole, Part, Equal, Unequal",unequal,unequal_or_congruent
identify-equal-parts-when-they-do-not-look-the-same,Identify equal parts when they do not look the same,Key Stage 2,Unit fractions as part of a whole,"Whole, Part, Equal, Unequal",unequal,unequal_or_congruent
identify-how-many-equal-parts-a-whole-has-been-divided-into,Identify how many equal parts a whole has been divided into,Key Stage 2,Unit fractions as part of a whole,"Whole, Part, Equal, Unequal",unequal,unequal_or_congruent
identify-equal-parts-in-a-whole-when-they-do-not-look-the-same-in-2d-shapes,Identify equal parts in a whole when they do not look the same in 2D shapes,Key Stage 2,Identify parts and wholes in different contexts,"Whole, Part, Equal, Unequal",unequal,unequal_or_congruent
identify-parts-and-wholes-in-the-contexts-of-lines-and-3d-objects,Identify parts and wholes in the contexts of lines and 3D objects,Key Stage 2,Identify parts and wholes in different contexts,"Whole, Part, Equal, Unequal",unequal,unequal_or_congruent
identify-parts-and-wholes-in-different-contexts,Identify parts and wholes in different contexts,Key Stage 2,Identify parts and wholes in different contexts,"Part, Whole, Equal, Unequal, Set",unequal,unequal_or_congruent
identify-equal-parts-in-a-whole-when-they-do-not-look-the-same-in-3d-contexts,Identify equal parts in a whole when they do not look the same in 3D contexts,Key Stage 2,Identify parts and wholes in different contexts,"Whole, Part, Equal, Unequal",unequal,unequal_or_congruent
solve-problems-by-identifying-parts-and-wholes-in-a-range-of-contexts,Solve problems by identifying parts and wholes in a range of contexts,Key Stage 2,Identify parts and wholes in different contexts,"Whole, Part, Equal, Unequal",unequal,unequal_or_congruent
solve-problems-involving-missing-coordinates,Solve problems involving missing coordinates,Key Stage 2,"Area, perimeter, position and direction","Congruent, Vertex / vertices",congruent,unequal_or_congruent
equal-or-unequal-parts,Equal or unequal parts,Key Stage 1,"Fractions: identify equal parts and be familiar with halves, thirds and quarters","Whole, Part, Equal, Unequal",unequal,unequal_or_congruent
identifying-the-number-of-equal-or-unequal-parts-in-a-whole,Identifying the number of equal or unequal parts in a whole,Key Stage 2,Review of fractions,"Equal, Unequal",unequal,unequal_or_congruent
secure-identifying-equal-parts-when-they-do-not-look-the-same,Secure identifying equal parts when they do not look the same,Key Stage 2,Review of fractions,"Equal, Unequal",unequal,unequal_or_congruent
identifying-equal-parts-in-a-whole-in-different-contexts,Identifying equal parts in a whole in different contexts,Key Stage 2,Non-unit fractions,"Equal, Unequal",unequal,unequal_or_congruent
identify-properties-of-triangles,Identify properties of triangles,Key Stage 2,Right angles,"Triangle, Vertex, Vertices, Properties",triangle,triangle
explore-and-recognise-2d-shapes,Explore and recognise 2D shapes,Key Stage 1,"Recognise, compose, decompose and manipulate 2D and 3D shapes","Circle, Triangle, Rectangle, Square",triangle,triangle
explore-discuss-and-identify-shapes-that-are-and-are-not-triangles,"Explore, discuss and identify shapes that are and are not triangles",Key Stage 1,"Recognise, compose, decompose and manipulate 2D and 3D shapes","Sides, Vertices, Triangle, Straight",triangle,triangle
compose-tangram-images,Compose tangram images,Key Stage 1,"Recognise, compose, decompose and manipulate 2D and 3D shapes","Tangram, Triangle, Square",triangle,triangle
explore-discuss-and-compare-2d-shapes,"Explore, discuss and compare 2D shapes",Key Stage 1,"Recognise, compose, decompose and manipulate 2D and 3D shapes","Sides, Vertices, Rectangle, Triangle",triangle,triangle
describe-and-name-polygons-including-triangles-and-quadrilaterals,"Describe and name polygons, including triangles and quadrilaterals",Key Stage 1,Shape: discuss and compare 2D and 3D shapes,"Quadrilateral, Rectangle, Square, Triangle",triangle,triangle
explore-sort-and-classify-triangles,"Explore, sort and classify triangles",Key Stage 2,Properties of 2D and 3D shapes and symmetry,"Right-angled triangle, Equilateral triangle, Isosceles triangle, Scalene triangle",triangle,triangle
identify-different-types-of-triangle,Identify different types of triangle,Key Stage 2,Properties of 2D and 3D shapes and symmetry,"Equilateral triangle, Isosceles triangle, Scalene triangle",triangle,triangle
angles-in-triangles,Angles in triangles,Key Stage 2,"Angles: compare, name, estimate and measure angles","Quadrilateral, Triangle, Sum",triangle,triangle
solve-problems-with-numbers-with-up-to-3-decimal-places,Solve problems with numbers with up to 3 decimal places,Key Stage 2,Use knowledge of decimals to solve problems in different contexts: length,"Represent, Operation, Efficient",ratio,ratio
use-knowledge-of-the-9-times-table-to-solve-problems,Use knowledge of the 9 times table to solve problems,Key Stage 2,Represent counting in nines as the 9 times table,"Equation, Operation",ratio,ratio
solve-problems-involving-multiplication-and-division-in-a-range-of-contexts,Solve problems involving multiplication and division in a range of contexts,Key Stage 2,Division by partitioning leading to short division (2 and 3-digits by 1-digit),"Operation, Inverse",ratio,ratio
use-knowledge-of-the-7-times-table-to-solve-problems,Use knowledge of the 7 times table to solve problems,Key Stage 2,"7 times table: odd and even patterns, square numbers and tests of divisibility","Equation, Operation",ratio,ratio
use-multiplication-and-division-to-calculate-unknown-values-in-ratio-problems,Use multiplication and division to calculate unknown values in ratio problems,Key Stage 2,Ratio and proportion,"ratio, for every",ratio,ratio
solve-problems-involving-ratio,Solve problems involving ratio,Key Stage 2,Ratio and proportion,"ratio, for every",ratio,ratio
describe-the-relationship-between-two-factors-in-a-ratio-context,Describe the relationship between two factors in a ratio context,Key Stage 2,Ratio and proportion,"Ratio, For every",ratio,ratio
combine-division-with-addition-and-subtraction,Combine division with addition and subtraction,Key Stage 2,Order of operations,"Brackets, Order of operations",ratio,ratio
combine-multiplication-with-addition-and-subtraction,Combine multiplication with addition and subtraction,Key Stage 2,Order of operations,"Efficient, Equation, Brackets, Order of operations",ratio,ratio
use-knowledge-of-the-order-of-operations-to-solve-equations,Use knowledge of the order of operations to solve equations,Key Stage 2,Order of operations,"Order of operations, Distributive law",ratio,ratio
know-that-a-regular-polygon-has-sides-that-are-the-same-length-and-angles-that-are-the-same-size,Know that a regular polygon has sides that are the same length and angles that are the same size,Key Stage 2,Perimeter,"Regular polygon, Irregular polygon, Interior angles",polygon,polygon_or_coefficient
understand-that-different-shapes-can-have-the-same-perimeter,Understand that different shapes can have the same perimeter,Key Stage 2,Perimeter,"Polygon, Perimeter",polygon,polygon_or_coefficient
know-that-a-rectangle-is-a-four-sided-polygon-with-four-right-angles,Know that a rectangle is a four-sided polygon with four right angles,Key Stage 2,Right angles,"Polygon, Rectangle",polygon,polygon_or_coefficient
recognise-and-sort-polygons,Recognise and sort polygons,Key Stage 1,Shape: discuss and compare 2D and 3D shapes,"Polygon, 2D / two dimensional, Sides, Vertices",polygon,polygon_or_coefficient
explain-what-area-is,Explain what area is,Key Stage 2,Understand the concept of area,"Polygon, Tessellate",polygon,polygon_or_coefficient
use-knowledge-of-the-distributive-law-to-solve-problems-in-different-contexts,Use knowledge of the distributive law to solve problems in different contexts,Key Stage 2,Apply the distributive law to multiplication,"Distributive law, Polygon",polygon,polygon_or_coefficient
move-objects-including-polygons-on-a-grid-according-to-directions-and-mark-the-new-position,Move objects including polygons on a grid according to directions and mark the new position,Key Stage 2,Coordinates,Polygon,polygon,polygon_or_coefficient
draw-polygons-specified-by-coordinates-in-the-first-quadrant,Draw polygons specified by coordinates in the first quadrant,Key Stage 2,Coordinates,"Polygon, Vertex / vertices, Coordinate",polygon,polygon_or_coefficient
make-shapes-by-joining-two-polygons-in-different-ways,Make shapes by joining two polygons in different ways,Key Stage 2,Parallel and perpendicular sides in polygons,"Polygon, Quadrilateral",polygon,polygon_or_coefficient
investigate-different-ways-of-decomposing-a-polygon,Investigate different ways of decomposing a polygon,Key Stage 2,Parallel and perpendicular sides in polygons,"Polygon, Quadrilateral, Parallel, Decompose",polygon,polygon_or_coefficient
construct-quadrilaterals-with-and-without-parallel-and-perpendicular-sides,Construct quadrilaterals with and without parallel and perpendicular sides,Key Stage 2,Parallel and perpendicular sides in polygons,"Polygon, Perpendicular, Parallel",polygon,polygon_or_coefficient
identify-and-describe-the-relationship-between-regular-polygons-using-scale-factors,Identify and describe the relationship between regular polygons using scale factors,Key Stage 2,Ratio and proportion,"dimensions, scale factor, regular polygon, similar shapes",polygon,polygon_or_coefficient
identify-and-describe-the-relationship-between-irregular-polygons-using-scale-factors,Identify and describe the relationship between irregular polygons using scale factors,Key Stage 2,Ratio and proportion,Irregular polygon,polygon,polygon_or_coefficient
find-lines-of-symmetry-in-2d-shapes,Find lines of symmetry in 2D shapes,Key Stage 2,Properties of 2D and 3D shapes and symmetry,"Symmetrical, Line of symmetry, Regular polygon",polygon,polygon_or_coefficient
represent-and-solve-problems-with-two-unknowns-efficiently,Represent and solve problems with two unknowns efficiently,Key Stage 2,Solving problems with two unknowns,"Coefficient, Efficient",coefficient,polygon_or_coefficient
reasoning-about-angles-in-polygons,Reasoning about angles in polygons,Key Stage 2,"Angles: compare, name, estimate and measure angles","Angle, Sum, Vertex, Polygon",polygon,polygon_or_coefficient
draw-angles-accurately-using-a-protractor,Draw angles accurately using a protractor,Key Stage 2,"Angles: compare, name, estimate and measure angles","Protractor, Angle, Polygon",polygon,polygon_or_coefficient
use-the-relationship-between-the-numerator-and-denominator-in-equivalent-fractions-to-solve-problems,Use the relationship between the numerator and denominator in equivalent fractions to solve problems,Key Stage 2,Comparing fractions using equivalence and decimals,"Numerator, Denominator, Equivalent fraction, Proportion",equivalent fraction,equivalent_fractions
explain-the-relationship-between-numerators-and-denominators-in-equivalent-fractions,Explain the relationship between numerators and denominators in equivalent fractions,Key Stage 2,Comparing fractions using equivalence and decimals,"Numerator, Denominator, Equivalent fraction",equivalent fraction,equivalent_fractions
use-the-language-of-equivalent-fractions-correctly,Use the language of equivalent fractions correctly,Key Stage 2,Comparing fractions using equivalence and decimals,"Equivalent fractions, Proportion",equivalent fraction,equivalent_fractions
explain-the-relationship-within-families-of-equivalent-fractions,Explain the relationship within families of equivalent fractions,Key Stage 2,Comparing fractions using equivalence and decimals,"Numerator, Denominator, Equivalent fraction, Scale up and down",equivalent fraction,equivalent_fractions
use-understanding-of-equivalent-fractions-to-solve-problems,Use understanding of equivalent fractions to solve problems,Key Stage 2,Comparing fractions using equivalence and decimals,"Equivalent fraction, Simplify, Scale up/down",equivalent fraction,equivalent_fractions
explain-the-relationship-between-numerators-and-denominators-across-equivalent-fractions,Explain the relationship between numerators and denominators across equivalent fractions,Key Stage 2,Comparing fractions using equivalence and decimals,"Numerator, Denominator, Equivalent fraction, Scale/scaling",equivalent fraction,equivalent_fractions
explain-how-negative-numbers-are-used-on-a-coordinate-grid,Explain how negative numbers are used on a coordinate grid,Key Stage 2,Negative numbers,"Coordinates, Quadrant, Axis / Axes",quadrant,quadrant
draw-and-complete-simple-shapes-by-plotting-positions-on-the-full-coordinate-grid,Draw and complete simple shapes by plotting positions on the full coordinate grid,Key Stage 2,"Area, perimeter, position and direction","Coordinates, Quadrant, Axis / axes",quadrant,quadrant
